part_id,plant_id,quantity_on_hand,as_of_date
55,8,15,2026-09-24
12,2,43,2026-09-24
14,2,14,2026-09-24
24,2,45,2026-09-24
189,8,100,2026-09-24
144,5,50,2026-09-24
73,5,90,2026-09-24
24,5,148,2026-09-24
139,7,223,2026-09-24
52,7,72,2026-09-24
164,7,52,2026-09-24
55,7,119,2026-09-24
84,6,39,2026-09-24
25,6,136,2026-09-24
22,6,79,2026-09-24
88,6,171,2026-09-24
134,3,60,2026-09-24
1,9,284,2026-09-24
125,9,57,2026-09-24
187,9,32,2026-09-24
195,9,99,2026-09-24
188,5,29,2026-09-24
198,5,68,2026-09-24
144,9,12,2026-09-24
173,9,1,2026-09-24
25,9,34,2026-09-24
141,7,85,2026-09-24
42,7,146,2026-09-24
194,7,45,2026-09-24
56,7,46,2026-09-24
147,7,110,2026-09-24
121,8,145,2026-09-24
194,8,94,2026-09-24
192,8,81,2026-09-24
152,8,86,2026-09-24
6,8,338,2026-09-24
12,8,125,2026-09-24
173,6,187,2026-09-24
178,6,110,2026-09-24
112,6,102,2026-09-24
74,5,66,2026-09-24
173,5,120,2026-09-24
174,6,131,2026-09-24
71,6,24,2026-09-24
123,6,29,2026-09-24
148,6,55,2026-09-24
58,7,84,2026-09-24
15,7,79,2026-09-24
96,10,117,2026-09-24
195,2,151,2026-09-24
119,2,12,2026-09-24
193,2,66,2026-09-24
52,6,175,2026-09-24
124,6,18,2026-09-24
195,6,102,2026-09-24
105,4,103,2026-09-24
154,4,96,2026-09-24
54,4,65,2026-09-24
50,4,79,2026-09-24
35,4,102,2026-09-24
46,8,82,2026-09-24
48,8,37,2026-09-24
87,8,246,2026-09-24
140,7,115,2026-09-24
178,7,79,2026-09-24
150,7,150,2026-09-24
80,7,29,2026-09-24
72,10,55,2026-09-24
94,10,23,2026-09-24
4,8,66,2026-09-24
69,8,209,2026-09-24
119,8,65,2026-09-24
147,10,47,2026-09-24
92,6,211,2026-09-24
79,6,149,2026-09-24
78,6,128,2026-09-24
187,6,55,2026-09-24
162,9,65,2026-09-24
51,9,46,2026-09-24
143,7,139,2026-09-24
163,7,85,2026-09-24
21,9,59,2026-09-24
178,9,91,2026-09-24
96,9,18,2026-09-24
21,5,211,2026-09-24
167,10,90,2026-09-24
135,10,141,2026-09-24
104,10,72,2026-09-24
164,10,173,2026-09-24
172,10,41,2026-09-24
23,4,68,2026-09-24
188,4,90,2026-09-24
1,4,28,2026-09-24
60,4,72,2026-09-24
147,5,60,2026-09-24
174,5,59,2026-09-24
143,8,69,2026-09-24
93,7,186,2026-09-24
112,7,73,2026-09-24
14,8,38,2026-09-24
97,10,93,2026-09-24
57,10,94,2026-09-24
175,10,68,2026-09-24
191,10,47,2026-09-24
155,3,50,2026-09-24
115,1,69,2026-09-24
199,1,202,2026-09-24
147,1,34,2026-09-24
107,9,143,2026-09-24
94,6,4,2026-09-24
164,6,150,2026-09-24
144,6,10,2026-09-24
127,3,225,2026-09-24
55,3,105,2026-09-24
183,6,195,2026-09-24
34,6,20,2026-09-24
193,10,6,2026-09-24
129,10,55,2026-09-24
11,7,7,2026-09-24
102,7,8,2026-09-24
173,7,213,2026-09-24
100,7,53,2026-09-24
72,7,123,2026-09-24
153,8,58,2026-09-24
54,2,164,2026-09-24
85,2,78,2026-09-24
80,2,147,2026-09-24
118,8,221,2026-09-24
111,8,208,2026-09-24
30,6,56,2026-09-24
175,6,33,2026-09-24
180,6,193,2026-09-24
18,6,84,2026-09-24
1,1,50,2026-09-24
28,1,17,2026-09-24
8,1,269,2026-09-24
18,1,68,2026-09-24
168,6,108,2026-09-24
24,6,122,2026-09-24
186,4,8,2026-09-24
96,4,33,2026-09-24
10,4,31,2026-09-24
21,4,77,2026-09-24
129,4,221,2026-09-24
111,4,100,2026-09-24
193,7,96,2026-09-24
5,9,78,2026-09-24
180,9,335,2026-09-24
26,9,42,2026-09-24
154,9,106,2026-09-24
109,9,22,2026-09-24
22,9,50,2026-09-24
121,1,23,2026-09-24
127,1,152,2026-09-24
93,1,168,2026-09-24
16,7,149,2026-09-24
139,9,68,2026-09-24
32,9,125,2026-09-24
47,6,265,2026-09-24
110,7,12,2026-09-24
39,7,102,2026-09-24
57,7,189,2026-09-24
104,9,108,2026-09-24
141,9,64,2026-09-24
13,9,75,2026-09-24
104,8,71,2026-09-24
71,8,152,2026-09-24
199,8,163,2026-09-24
180,10,72,2026-09-24
157,10,49,2026-09-24
128,10,47,2026-09-24
9,1,47,2026-09-24
176,7,236,2026-09-24
159,7,129,2026-09-24
171,10,42,2026-09-24
159,10,265,2026-09-24
111,9,81,2026-09-24
46,9,136,2026-09-24
22,3,118,2026-09-24
154,3,91,2026-09-24
89,3,34,2026-09-24
82,6,131,2026-09-24
100,1,73,2026-09-24
70,3,140,2026-09-24
103,3,173,2026-09-24
141,3,142,2026-09-24
191,6,43,2026-09-24
126,6,145,2026-09-24
176,6,32,2026-09-24
76,6,78,2026-09-24
39,4,190,2026-09-24
154,10,17,2026-09-24
188,8,23,2026-09-24
59,8,50,2026-09-24
5,5,14,2026-09-24
85,5,36,2026-09-24
59,5,156,2026-09-24
179,3,214,2026-09-24
165,3,178,2026-09-24
20,3,200,2026-09-24
72,3,138,2026-09-24
152,5,123,2026-09-24
196,5,82,2026-09-24
140,5,74,2026-09-24
39,5,66,2026-09-24
191,9,145,2026-09-24
133,9,94,2026-09-24
119,10,235,2026-09-24
133,10,255,2026-09-24
116,10,66,2026-09-24
73,10,44,2026-09-24
199,10,91,2026-09-24
127,2,151,2026-09-24
81,2,116,2026-09-24
135,1,187,2026-09-24
48,1,175,2026-09-24
131,1,25,2026-09-24
127,4,46,2026-09-24
77,4,17,2026-09-24
83,4,120,2026-09-24
56,2,26,2026-09-24
184,2,38,2026-09-24
100,2,127,2026-09-24
76,2,171,2026-09-24
68,6,166,2026-09-24
57,6,123,2026-09-24
1,6,122,2026-09-24
163,6,137,2026-09-24
70,4,71,2026-09-24
53,4,147,2026-09-24
59,2,96,2026-09-24
63,2,69,2026-09-24
53,1,285,2026-09-24
154,5,278,2026-09-24
128,5,106,2026-09-24
136,8,30,2026-09-24
135,8,60,2026-09-24
156,1,65,2026-09-24
31,7,91,2026-09-24
43,7,76,2026-09-24
48,7,73,2026-09-24
143,5,46,2026-09-24
119,5,75,2026-09-24
80,5,59,2026-09-24
118,5,65,2026-09-24
184,10,7,2026-09-24
149,8,139,2026-09-24
138,3,33,2026-09-24
43,3,31,2026-09-24
124,3,38,2026-09-24
77,3,51,2026-09-24
146,9,52,2026-09-24
43,9,160,2026-09-24
170,9,29,2026-09-24
10,9,42,2026-09-24
103,9,200,2026-09-24
169,9,127,2026-09-24
31,1,123,2026-09-24
79,9,330,2026-09-24
182,9,94,2026-09-24
93,3,45,2026-09-24
189,3,12,2026-09-24
142,3,68,2026-09-24
196,1,156,2026-09-24
144,7,141,2026-09-24
109,7,61,2026-09-24
143,4,49,2026-09-24
141,4,88,2026-09-24
8,5,48,2026-09-24
9,5,86,2026-09-24
159,1,154,2026-09-24
41,1,311,2026-09-24
101,6,175,2026-09-24
99,6,147,2026-09-24
199,6,150,2026-09-24
58,4,76,2026-09-24
170,4,106,2026-09-24
98,4,32,2026-09-24
117,4,82,2026-09-24
69,7,51,2026-09-24
121,7,51,2026-09-24
27,7,124,2026-09-24
171,7,103,2026-09-24
151,1,184,2026-09-24
129,2,46,2026-09-24
179,1,83,2026-09-24
126,2,76,2026-09-24
68,3,158,2026-09-24
191,1,168,2026-09-24
184,1,117,2026-09-24
164,1,29,2026-09-24
135,3,53,2026-09-24
157,3,35,2026-09-24
81,3,55,2026-09-24
104,4,68,2026-09-24
149,4,50,2026-09-24
71,10,5,2026-09-24
200,10,83,2026-09-24
8,10,54,2026-09-24
122,10,16,2026-09-24
111,6,136,2026-09-24
195,10,49,2026-09-24
29,9,45,2026-09-24
175,9,106,2026-09-24
153,9,37,2026-09-24
84,9,178,2026-09-24
23,9,123,2026-09-24
168,8,30,2026-09-24
89,10,165,2026-09-24
194,10,57,2026-09-24
197,10,149,2026-09-24
165,10,277,2026-09-24
176,10,43,2026-09-24
166,10,101,2026-09-24
151,10,91,2026-09-24
64,6,79,2026-09-24
128,6,153,2026-09-24
106,6,34,2026-09-24
10,2,113,2026-09-24
132,2,31,2026-09-24
51,2,56,2026-09-24
3,2,58,2026-09-24
48,2,228,2026-09-24
66,7,274,2026-09-24
63,7,48,2026-09-24
67,5,34,2026-09-24
11,5,21,2026-09-24
167,7,60,2026-09-24
98,9,79,2026-09-24
63,9,156,2026-09-24
16,2,49,2026-09-24
175,2,78,2026-09-24
171,1,176,2026-09-24
137,1,115,2026-09-24
61,3,72,2026-09-24
15,3,78,2026-09-24
151,8,114,2026-09-24
61,7,27,2026-09-24
135,7,41,2026-09-24
91,1,52,2026-09-24
26,1,67,2026-09-24
130,1,95,2026-09-24
109,5,24,2026-09-24
76,9,197,2026-09-24
142,9,79,2026-09-24
75,6,93,2026-09-24
91,9,45,2026-09-24
179,9,57,2026-09-24
199,9,151,2026-09-24
70,2,263,2026-09-24
64,5,29,2026-09-24
124,5,176,2026-09-24
146,1,108,2026-09-24
177,1,118,2026-09-24
189,1,40,2026-09-24
85,1,111,2026-09-24
44,7,107,2026-09-24
6,4,132,2026-09-24
97,4,7,2026-09-24
78,4,93,2026-09-24
95,7,225,2026-09-24
29,7,66,2026-09-24
161,7,9,2026-09-24
71,7,85,2026-09-24
143,2,68,2026-09-24
107,4,222,2026-09-24
131,4,16,2026-09-24
14,4,130,2026-09-24
144,4,151,2026-09-24
41,10,128,2026-09-24
175,1,169,2026-09-24
108,1,172,2026-09-24
10,1,100,2026-09-24
13,2,119,2026-09-24
128,8,228,2026-09-24
17,10,87,2026-09-24
137,10,105,2026-09-24
70,7,50,2026-09-24
35,7,53,2026-09-24
197,7,175,2026-09-24
50,7,48,2026-09-24
153,6,45,2026-09-24
157,9,195,2026-09-24
56,9,62,2026-09-24
104,6,198,2026-09-24
80,6,50,2026-09-24
37,6,103,2026-09-24
100,8,202,2026-09-24
108,8,118,2026-09-24
171,8,1,2026-09-24
17,8,20,2026-09-24
32,8,156,2026-09-24
63,3,40,2026-09-24
173,1,272,2026-09-24
170,1,52,2026-09-24
123,8,41,2026-09-24
120,3,33,2026-09-24
95,3,128,2026-09-24
36,9,74,2026-09-24
64,9,134,2026-09-24
68,5,42,2026-09-24
122,1,219,2026-09-24
141,6,39,2026-09-24
90,7,37,2026-09-24
34,4,116,2026-09-24
110,2,105,2026-09-24
25,2,47,2026-09-24
29,2,90,2026-09-24
94,3,121,2026-09-24
33,9,240,2026-09-24
52,8,19,2026-09-24
131,8,80,2026-09-24
36,5,71,2026-09-24
14,5,147,2026-09-24
29,10,160,2026-09-24
2,10,45,2026-09-24
92,10,130,2026-09-24
192,10,183,2026-09-24
134,9,20,2026-09-24
73,9,62,2026-09-24
188,9,103,2026-09-24
114,10,57,2026-09-24
76,10,127,2026-09-24
49,10,19,2026-09-24
190,9,62,2026-09-24
147,9,43,2026-09-24
200,2,58,2026-09-24
26,2,58,2026-09-24
81,10,18,2026-09-24
124,10,38,2026-09-24
115,9,104,2026-09-24
165,5,50,2026-09-24
117,3,38,2026-09-24
97,3,38,2026-09-24
15,4,58,2026-09-24
176,4,125,2026-09-24
89,4,40,2026-09-24
133,1,82,2026-09-24
47,5,103,2026-09-24
116,5,71,2026-09-24
149,5,15,2026-09-24
41,5,158,2026-09-24
13,1,18,2026-09-24
51,1,116,2026-09-24
35,1,90,2026-09-24
126,8,145,2026-09-24
127,8,129,2026-09-24
26,4,56,2026-09-24
27,4,144,2026-09-24
82,7,43,2026-09-24
153,7,104,2026-09-24
10,7,42,2026-09-24
53,10,47,2026-09-24
146,5,128,2026-09-24
190,5,76,2026-09-24
164,4,60,2026-09-24
122,4,65,2026-09-24
49,4,274,2026-09-24
158,10,215,2026-09-24
160,10,217,2026-09-24
49,2,75,2026-09-24
95,2,107,2026-09-24
34,5,82,2026-09-24
132,5,14,2026-09-24
109,6,6,2026-09-24
177,6,96,2026-09-24
32,1,36,2026-09-24
95,10,4,2026-09-24
32,10,201,2026-09-24
166,1,354,2026-09-24
167,3,41,2026-09-24
71,3,158,2026-09-24
18,7,75,2026-09-24
177,7,231,2026-09-24
85,7,6,2026-09-24
49,7,138,2026-09-24
98,7,122,2026-09-24
152,7,1,2026-09-24
180,7,17,2026-09-24
2,2,97,2026-09-24
134,2,43,2026-09-24
70,10,57,2026-09-24
69,10,41,2026-09-24
28,10,161,2026-09-24
16,10,19,2026-09-24
19,2,46,2026-09-24
130,2,22,2026-09-24
140,2,29,2026-09-24
164,2,26,2026-09-24
54,3,14,2026-09-24
136,3,40,2026-09-24
163,3,144,2026-09-24
73,4,14,2026-09-24
65,3,228,2026-09-24
100,3,78,2026-09-24
22,10,134,2026-09-24
121,4,133,2026-09-24
13,4,163,2026-09-24
190,1,36,2026-09-24
18,5,20,2026-09-24
111,5,86,2026-09-24
46,5,13,2026-09-24
44,5,109,2026-09-24
150,1,120,2026-09-24
2,1,54,2026-09-24
102,9,84,2026-09-24
149,9,38,2026-09-24
49,9,70,2026-09-24
132,10,33,2026-09-24
48,6,56,2026-09-24
84,5,82,2026-09-24
81,1,84,2026-09-24
39,1,152,2026-09-24
137,3,83,2026-09-24
187,7,20,2026-09-24
33,7,25,2026-09-24
38,7,50,2026-09-24
186,7,16,2026-09-24
189,7,49,2026-09-24
65,7,77,2026-09-24
193,5,146,2026-09-24
138,5,60,2026-09-24
125,6,35,2026-09-24
35,6,150,2026-09-24
20,6,157,2026-09-24
11,6,114,2026-09-24
127,5,62,2026-09-24
38,5,45,2026-09-24
137,2,34,2026-09-24
152,2,68,2026-09-24
44,9,91,2026-09-24
6,5,141,2026-09-24
198,2,18,2026-09-24
167,2,121,2026-09-24
60,2,312,2026-09-24
21,2,105,2026-09-24
168,7,72,2026-09-24
145,2,34,2026-09-24
73,2,106,2026-09-24
169,2,183,2026-09-24
148,2,106,2026-09-24
157,2,172,2026-09-24
200,8,148,2026-09-24
150,8,85,2026-09-24
86,8,154,2026-09-24
26,8,45,2026-09-24
51,8,142,2026-09-24
110,10,103,2026-09-24
59,10,85,2026-09-24
17,7,24,2026-09-24
61,4,226,2026-09-24
67,4,157,2026-09-24
108,4,35,2026-09-24
17,4,191,2026-09-24
193,1,31,2026-09-24
42,5,75,2026-09-24
128,7,207,2026-09-24
27,3,139,2026-09-24
5,3,143,2026-09-24
104,3,40,2026-09-24
42,3,49,2026-09-24
62,3,83,2026-09-24
14,3,28,2026-09-24
65,2,45,2026-09-24
68,8,214,2026-09-24
54,8,117,2026-09-24
186,9,106,2026-09-24
102,5,90,2026-09-24
17,5,116,2026-09-24
176,9,256,2026-09-24
174,9,95,2026-09-24
60,9,100,2026-09-24
92,9,111,2026-09-24
119,1,37,2026-09-24
158,5,38,2026-09-24
117,5,213,2026-09-24
30,1,254,2026-09-24
138,1,88,2026-09-24
11,4,104,2026-09-24
64,4,127,2026-09-24
161,4,136,2026-09-24
163,4,100,2026-09-24
21,7,69,2026-09-24
59,7,19,2026-09-24
133,7,40,2026-09-24
81,7,141,2026-09-24
108,7,92,2026-09-24
3,7,56,2026-09-24
195,5,82,2026-09-24
28,3,265,2026-09-24
36,3,21,2026-09-24
174,3,251,2026-09-24
18,10,28,2026-09-24
45,10,49,2026-09-24
134,6,146,2026-09-24
128,3,19,2026-09-24
16,3,98,2026-09-24
67,3,83,2026-09-24
74,8,21,2026-09-24
169,8,181,2026-09-24
76,8,47,2026-09-24
129,5,61,2026-09-24
63,5,99,2026-09-24
87,9,113,2026-09-24
36,10,66,2026-09-24
46,6,13,2026-09-24
176,5,62,2026-09-24
81,5,70,2026-09-24
180,2,151,2026-09-24
22,2,85,2026-09-24
82,2,63,2026-09-24
138,2,57,2026-09-24
103,2,66,2026-09-24
33,2,177,2026-09-24
185,2,20,2026-09-24
71,5,141,2026-09-24
145,5,110,2026-09-24
35,9,69,2026-09-24
100,9,71,2026-09-24
91,4,95,2026-09-24
57,2,52,2026-09-24
37,2,129,2026-09-24
162,2,22,2026-09-24
191,2,37,2026-09-24
120,2,86,2026-09-24
69,6,34,2026-09-24
118,6,69,2026-09-24
130,4,20,2026-09-24
30,4,46,2026-09-24
37,10,86,2026-09-24
113,10,34,2026-09-24
34,10,39,2026-09-24
11,8,15,2026-09-24
72,8,33,2026-09-24
114,6,106,2026-09-24
117,6,203,2026-09-24
113,5,101,2026-09-24
161,3,254,2026-09-24
99,3,55,2026-09-24
50,10,6,2026-09-24
143,10,8,2026-09-24
5,7,93,2026-09-24
1,7,17,2026-09-24
156,7,113,2026-09-24
193,9,109,2026-09-24
72,9,99,2026-09-24
159,9,93,2026-09-24
200,9,34,2026-09-24
120,7,33,2026-09-24
87,7,73,2026-09-24
4,7,69,2026-09-24
188,7,84,2026-09-24
148,8,87,2026-09-24
25,8,20,2026-09-24
78,8,68,2026-09-24
12,7,25,2026-09-24
175,7,13,2026-09-24
155,9,88,2026-09-24
52,9,38,2026-09-24
9,7,67,2026-09-24
114,7,81,2026-09-24
179,8,60,2026-09-24
93,8,229,2026-09-24
81,8,131,2026-09-24
82,9,127,2026-09-24
38,9,94,2026-09-24
89,1,16,2026-09-24
172,4,39,2026-09-24
41,4,15,2026-09-24
79,10,92,2026-09-24
86,1,108,2026-09-24
126,1,70,2026-09-24
105,1,112,2026-09-24
138,8,111,2026-09-24
72,5,29,2026-09-24
125,2,149,2026-09-24
123,7,65,2026-09-24
182,7,179,2026-09-24
126,7,165,2026-09-24
78,7,58,2026-09-24
65,8,81,2026-09-24
147,4,117,2026-09-24
45,4,75,2026-09-24
145,10,52,2026-09-24
90,3,37,2026-09-24
190,2,55,2026-09-24
103,6,6,2026-09-24
96,6,37,2026-09-24
122,6,115,2026-09-24
185,6,147,2026-09-24
126,3,70,2026-09-24
153,1,68,2026-09-24
174,1,221,2026-09-24
146,4,309,2026-09-24
103,10,32,2026-09-24
20,4,146,2026-09-24
109,8,81,2026-09-24
159,8,98,2026-09-24
64,8,38,2026-09-24
189,9,97,2026-09-24
36,2,203,2026-09-24
135,2,83,2026-09-24
24,4,61,2026-09-24
156,4,148,2026-09-24
99,5,50,2026-09-24
33,5,20,2026-09-24
62,5,168,2026-09-24
41,6,144,2026-09-24
48,9,102,2026-09-24
159,4,20,2026-09-24
61,5,105,2026-09-24
113,4,44,2026-09-24
56,4,71,2026-09-24
198,4,36,2026-09-24
148,4,117,2026-09-24
112,10,72,2026-09-24
121,10,154,2026-09-24
177,2,100,2026-09-24
81,9,68,2026-09-24
119,9,68,2026-09-24
171,9,2,2026-09-24
23,3,13,2026-09-24
192,7,34,2026-09-24
145,7,33,2026-09-24
115,10,63,2026-09-24
82,10,147,2026-09-24
168,9,162,2026-09-24
8,9,82,2026-09-24
172,8,80,2026-09-24
132,1,194,2026-09-24
164,5,57,2026-09-24
181,5,281,2026-09-24
87,5,43,2026-09-24
91,5,72,2026-09-24
164,8,5,2026-09-24
23,5,24,2026-09-24
152,1,267,2026-09-24
7,5,102,2026-09-24
97,6,157,2026-09-24
156,6,15,2026-09-24
162,8,121,2026-09-24
184,8,43,2026-09-24
